id,gender,masterCategory,subCategory,articleType,baseColour,season,year,usage,productDisplayName
8810,Men,Apparel,Topwear,Shirts,Blue,Fall,2011.0,Casual,Scullers Men White Check Shirt
2880,Women,Footwear,Shoes,Heels,Grey,Summer,2016.0,Formal,Catwalk Women Leather Formal Grey Heels
57173,Women,Apparel,Topwear,Tops,Red,Summer,2012.0,Casual,Elle Women Red Top
38597,Men,Apparel,Topwear,Tshirts,Grey,Summer,2012.0,Casual,Nike Men Printed Texture Grey T-shirt
14401,Women,Footwear,Shoes,Heels,Blue,Summer,2012.0,Casual,Enroute Women Steelblue Heels
39756,Boys,Apparel,Bottomwear,Shorts,White,Summer,2012.0,Casual,Gini Jony Boys White Shorts
19879,Women,Footwear,Flip Flops,Flip Flops,White,Fall,2011.0,Casual,ADIDAS Women Psychedlic White Flip Flops
51551,Men,Accessories,Watches,Watches,Black,Winter,2016.0,Casual,Fastrack Men Black Dial Watch
2859,Men,Apparel,Topwear,Tshirts,Purple,Summer,2011.0,Casual,Mr.Men Men's Mr.Cool Wine T-shirt
3733,Men,Apparel,Topwear,Tshirts,Purple,Summer,2011.0,Sports,Kochi Tuskers Mens Fangear Jersey
55206,Women,Personal Care,Lips,Lipstick,Brown,Spring,2017.0,Casual,Lakme Lip Love Chocolate Caress Lipstick
33532,Women,Footwear,Shoes,Casual Shoes,Grey,Summer,2016.0,Casual,Cobblerz Women Grey Loafers
12143,Women,Apparel,Topwear,Kurtas,White,Fall,2011.0,Ethnic,Aurelia Women White Kurta
7818,Men,Apparel,Topwear,Tshirts,Navy Blue,Fall,2011.0,Casual,Proline Men Navy Striped Polo T-shirt
19107,Men,Apparel,Topwear,Tshirts,Beige,Summer,2016.0,Casual,Campbell Men Pack of 3 Solid Tshirts
59781,Women,Accessories,Jewellery,Bracelet,Gold,Winter,2016.0,Casual,Estelle Women Gold Bracelet
19651,Men,Apparel,Topwear,Tshirts,Blue,Summer,2011.0,Casual,United Colors of Benetton Men Printed Blue Tshirt
25555,Men,Apparel,Topwear,Tshirts,Blue,Summer,2012.0,Casual,Wrangler Men Biker Blue T-shirt
10377,Men,Apparel,Topwear,Tshirts,White,Fall,2011.0,Casual,United Colors of Benetton Men Printed White Tshirts
29819,Men,Apparel,Topwear,Shirts,Green,Summer,2012.0,Casual,Basics Men Green Checked Slim Fit Shirt
29561,Men,Footwear,Shoes,Casual Shoes,Black,Summer,2012.0,Casual,Vans Men Desurgent Black Shoes
16201,Men,Apparel,Topwear,Tshirts,Black,Fall,2011.0,Casual,Puma Men Polo Black TShirt
5005,Women,Apparel,Bottomwear,Skirts,Red,Summer,2011.0,Casual,Gini and Jony Girl's Glinda Red Kidswear
3570,Men,Footwear,Shoes,Casual Shoes,Black,Summer,2011.0,Casual,ADIDAS Men's Natural Brown Shoe
50824,Men,Accessories,Wallets,Wallets,Brown,Summer,2012.0,Casual,New Hide Men Brown Wallet
33073,Men,Apparel,Topwear,Tshirts,Green,Summer,2012.0,Casual,U.S.Polo Assn. Men Green Polo T-shirt
59457,Women,Accessories,Jewellery,Ring,Silver,Summer,2015.0,Casual,Lucera Silver Ring
20840,Men,Footwear,Sandal,Sandals,Olive,Fall,2011.0,Casual,Puma Men Drifter Cat II Olive Slippers
10702,Women,Accessories,Watches,Watches,Steel,Winter,2016.0,Casual,Esprit Women Lissomy Glam Silver Black Steel Watches
50718,Boys,Apparel,Topwear,Tshirts,Navy Blue,Summer,2012.0,Casual,Doodle Boys Navy Blue Printed T-Shirt
49680,Men,Accessories,Eyewear,Sunglasses,Grey,Winter,2016.0,Casual,United Colors of Benetton Men Sunglass
48596,Women,Accessories,Jewellery,Earrings,Silver,Summer,2013.0,Casual,Lucera Women Silver Earrings
20772,Women,Footwear,Shoes,Flats,Black,Summer,2011.0,Casual,Carlton London Women Classy Black Sandals
47597,Women,Footwear,Shoes,Heels,Beige,Winter,2014.0,Casual,Portia Women Beige Wedges
40563,Women,Accessories,Watches,Watches,White,Winter,2016.0,Casual,Titan Women White Dial Watch NB9701WM01
51876,Men,Footwear,Sandal,Sandals,Black,Summer,2012.0,Casual,U.S. Polo Assn. Men Black Sandals
46093,Women,Footwear,Shoes,Flats,Red,Summer,2012.0,Casual,ADIDAS Women Red Libria Sandals
6908,Women,Apparel,Topwear,Tshirts,Black,Summer,2011.0,Casual,Tantra Women's Rupee Black T-shirt
40982,Boys,Apparel,Topwear,Tshirts,White,Summer,2012.0,Casual,Gini and Jony Boys Core White T-shirt
13275,Women,Footwear,Shoes,Heels,Gold,Winter,2012.0,Casual,Inc 5 Women Casual Gold Heels
22758,Women,Apparel,Topwear,Kurtas,Blue,Fall,2011.0,Ethnic,BIBA Women Printed Blue Kurta
15717,Men,Footwear,Shoes,Sports Shoes,Fluorescent Green,Fall,2011.0,Sports,Nike Men Mercurial Victory II HG-V Fluorescent Green Sports Shoes
2550,Men,Footwear,Flip Flops,Flip Flops,Black,Fall,2010.0,Casual,Numero Uno Men's Casual Black Graphic Flip Flop
14137,Men,Accessories,Cufflinks,Cufflinks,Steel,Fall,2011.0,Formal,Belmonte Men Formal Steel Cufflinks
47111,Boys,Footwear,Sandal,Sandals,Blue,Spring,2013.0,Casual,Marvel Boys Blue Spiderman Clogs
51029,Women,Apparel,Innerwear,Bra,Pink,Summer,2017.0,Casual,Enamor Rose Coloured Bra
4595,Men,Accessories,Bags,Backpacks,Blue,Winter,2015.0,Casual,Wildcraft Men Blue & Black Backpack
28610,Men,Accessories,Headwear,Caps,Red,Summer,2012.0,Casual,Nike Men Red Cap
24078,Women,Footwear,Shoes,Heels,Black,Winter,2015.0,Casual,productDisplayName
39375,Women,Accessories,Watches,Watches,Silver,Winter,2016.0,Casual,Helix Women Silver Dial Watch
48469,Women,Apparel,Dress,Dresses,Black,Summer,2012.0,Casual,French Connection Black Dress
42907,Women,Accessories,Belts,Belts,Cream,Summer,2012.0,Casual,French Connection Women Cream & Black Belt
35166,Men,Footwear,Sandal,Sandals,Brown,Summer,2012.0,Casual,Coolers by Liberty Men Brown Sandals
32316,Women,Accessories,Watches,Watches,Pink,Winter,2016.0,Casual,Q&Q Women Pink Dial Watch
2134,Men,Apparel,Topwear,Shirts,Purple,Spring,2011.0,Casual,Basics Men Purple Slim Fit Checked Shirt
38374,Men,Accessories,Belts,Belts,Black,Summer,2012.0,Casual,Peter England Men Black Belt
24599,Men,Apparel,Topwear,Tshirts,Purple,Fall,2011.0,Casual,Mr. Men Men Purple Printed T-shirt
30356,Men,Apparel,Topwear,Tshirts,Grey,Summer,2012.0,Casual,Myntra Men Grey T-shirt
44848,Men,Apparel,Topwear,Tshirts,Black,Summer,2012.0,Casual,Puma Men Black Ducati T-shirt
22822,Men,Footwear,Shoes,Casual Shoes,Green,Summer,2016.0,Casual,Woodland Men Green Shoes
33488,Men,Apparel,Topwear,Shirts,Purple,Summer,2012.0,Casual,Doodle Kids Boy Check Purple Shirt
44593,Men,Accessories,Belts,Belts,Black,Summer,2012.0,Formal,Van Heusen Men Black and Brown Reversible Belt
16937,Women,Free Items,Free Gifts,Free Gifts,Red,Winter,2016.0,Casual,Image Women Sunglasses
50752,Men,Footwear,Shoes,Formal Shoes,Black,Winter,2018.0,Formal,Red Chief Men Black Formal Shoes
20303,Women,Apparel,Topwear,Sweaters,Purple,Fall,2011.0,Casual,Jealous 21 Women Solid Purple Sweater
27711,Women,Accessories,Bags,Handbags,Green,Winter,2015.0,Casual,Murcia Women Green Handbag
23905,Men,Footwear,Shoes,Casual Shoes,White,Summer,2012.0,Casual,Fila Men Carbon White Casual Shoes
17798,Men,Apparel,Topwear,Tshirts,Orange,Fall,2011.0,Casual,Chhota Bheem Kids Boy Men Journey to Petra Orange Tshirt
57116,Women,Apparel,Topwear,Tops,White,Summer,2012.0,Formal,Elle Women White Semiformal Top
16851,Women,Accessories,Eyewear,Sunglasses,Black,Winter,2016.0,Casual,Idee Women Funky Eyewear Black Sunglasses
39327,Girls,Apparel,Bottomwear,Leggings,Green,Summer,2012.0,Casual,Gini and Jony Girls Green Leggings
16164,Men,Footwear,Sandal,Sandals,Brown,Summer,2012.0,Casual,Enroute Men Leather Brown Sandals
40107,Men,Apparel,Topwear,Tshirts,Black,Summer,2012.0,Casual,ADIDAS Men Black T-shirt
54548,Women,Apparel,Topwear,Tunics,Yellow,Summer,2012.0,Casual,Global Desi Women Yellow Tunic
39276,Men,Footwear,Shoes,Casual Shoes,Brown,Summer,2018.0,Casual,Red Chief Men Brown Casual Shoes
40651,Women,Apparel,Topwear,Kurtas,Olive,Summer,2012.0,Ethnic,Span Women Olive Green Kurta
17912,Women,Apparel,Topwear,Jackets,Cream,Fall,2011.0,Casual,Nike Women Casual Cream Jacket
49543,Women,Accessories,Bags,Handbags,Rust,Summer,2012.0,Casual,Rocia Women Rust Handbag
46682,Men,Personal Care,Fragrance,Perfume and Body Mist,Silver,Spring,2017.0,Casual,Rasasi Men Emotion Perfume
52116,Women,Apparel,Topwear,Tops,White,Summer,2012.0,Casual,Myntra Women White Printed Top
28294,Men,Accessories,Eyewear,Sunglasses,Brown,Winter,2016.0,Casual,Fastrack Men Brown Sunglasses
52651,Women,Accessories,Bags,Handbags,Brown,Summer,2012.0,Casual,Mod'acc Women Brown Handbag
30279,Men,Accessories,Eyewear,Sunglasses,Grey,Summer,2017.0,Casual,Speedo Men Sheet Sunglasses
5153,Women,Apparel,Topwear,Tshirts,White,Summer,2011.0,Casual,Wrangler Women's Side Paisley White T-shirt
22930,Unisex,Accessories,Watches,Watches,Green,Winter,2016.0,Casual,Fastrack Unisex Green Dial Watch 9912PP11
21367,Men,Apparel,Topwear,Tshirts,Red,Fall,2011.0,Casual,Manchester United Men Printed Red  T-Shirt
11692,Men,Apparel,Topwear,Shirts,Navy Blue,Fall,2011.0,Casual,Lee Men Navy Blue & Red Check Shirt
38980,Men,Apparel,Topwear,Shirts,Blue,Summer,2012.0,Formal,Arrow Men Blue Check Shirt
17959,Women,Footwear,Shoes,Casual Shoes,White,Fall,2011.0,Casual,Puma Women Trinity White Casual Shoe
9672,Men,Apparel,Bottomwear,Shorts,Black,Fall,2011.0,Casual,ADIDAS Men Addi Black Shorts
52352,Women,Apparel,Loungewear and Nightwear,Nightdress,Pink,Winter,2015.0,Casual,Red Rose Women Pink Nightdress
32200,Men,Apparel,Topwear,Kurtas,Red,Summer,2012.0,Ethnic,Fabindia Men Printed Red Kurta
48981,Women,Accessories,Jewellery,Ring,Silver,Fall,2012.0,Casual,Lucera Women Silver Ring
10244,Women,Accessories,Bags,Handbags,Beige,Winter,2015.0,Casual,Murcia Women Emma Beige Handbags
51498,Women,Apparel,Bottomwear,Jeans,Blue,Summer,2012.0,Casual,Denizen Women Blue Jeans
15999,Men,Apparel,Topwear,Shirts,Purple,Fall,2011.0,Casual,Turtle Solid Men Purple Shirt
17542,Men,Apparel,Topwear,Shirts,White,Fall,2011.0,Formal,Mark Taylor Men White & Black Striped Shirt
56617,Women,Personal Care,Makeup,Highlighter and Blush,Pink,Spring,2017.0,,Streetwear Stay On Mineral Pink Rosette Blusher
52078,Men,Apparel,Topwear,Tshirts,White,Summer,2012.0,Casual,Myntra Men White & Blue T-shirt
36416,Men,Footwear,Shoes,Casual Shoes,Black,Summer,2012.0,Casual,Spinn Men Abzorb X Black Shoes
39242,Women,Apparel,Loungewear and Nightwear,Nightdress,Pink,Summer,2017.0,Casual,Femella Women Pink Nightdress
40639,Women,Apparel,Topwear,Kurtas,Rust,Summer,2012.0,Ethnic,Span Women Rust Kurta
2650,Women,Accessories,Bags,Handbags,Brown,Winter,2015.0,Casual,Murcia Women Brown Leather Bag
20211,Women,Apparel,Topwear,Sweatshirts,Green,Fall,2011.0,Casual,Wrangler Women Green Sweatshirt
57652,Women,Personal Care,Nails,Nail Polish,Purple,Spring,2017.0,,Lotus Herbals Colour Dew Orchid Pearl Nail Polish 96
42527,Women,Apparel,Topwear,Kurtas,Blue,Summer,2012.0,Ethnic,Mother Earth Women Blue Kurta
7491,Women,Apparel,Bottomwear,Shorts,Pink,Summer,2011.0,Sports,"Nike Women's EM Tempo 3.5"" Pink Short"
9266,Men,Apparel,Topwear,Shirts,Navy Blue,Fall,2011.0,Casual,Scullers Men Scul Blue Shirts
15029,Women,Apparel,Topwear,Sweatshirts,Purple,Fall,2011.0,Casual,ADIDAS Women Stripes Purple Sweatshirts
8003,Men,Apparel,Topwear,Tshirts,Blue,Fall,2011.0,Sports,Fila Men's Round Neck Cobalt Blue T-shirt
10575,Women,Apparel,Topwear,Tshirts,Pink,Fall,2011.0,Casual,Puma Women Ess Pink Polo Tshirts
22356,Men,Apparel,Topwear,Shirts,White,Fall,2011.0,Casual,John Players Men Solid White Shirt
39811,Men,Apparel,Bottomwear,Trousers,Navy Blue,Spring,2013.0,Formal,Peter England Men Navy Blue Formal Trousers
29961,Men,Accessories,Eyewear,Sunglasses,Brown,Winter,2016.0,Casual,Cat Men Sheet Sunglasses
58135,Women,Accessories,Jewellery,Earrings,Silver,Fall,2012.0,Casual,Rreverie Silver Earrings
30958,Women,Apparel,Topwear,Tunics,Red,Summer,2012.0,Ethnic,Fabindia Women Red Kalamkari Tunic
52792,Men,Accessories,Wallets,Wallets,Black,Summer,2012.0,Casual,JAG Men Black Leather Wallet
4568,Men,Footwear,Shoes,Sports Shoes,White,Summer,2011.0,Sports,Nike Men's Collecte White Shoe
57403,Women,Apparel,Innerwear,Briefs,Taupe,Winter,2015.0,Casual,Amante Women Taupe Briefs PGEN01
59147,Women,Footwear,Shoes,Heels,Beige,Fall,2012.0,Casual,Tiptopp Women Beige Sandals
56462,Women,Personal Care,Nails,Nail Polish,Pink,Spring,2017.0,,Streetwear Plum Shine Nail Polish # 36
28753,Women,Apparel,Topwear,Kurtas,Green,Summer,2012.0,Ethnic,Aurelia Women Printed Green Kurta
46419,Men,Accessories,Watches,Watches,Brown,Winter,2016.0,Casual,Timex Men Brown Dial Empera Watch
11109,Men,Apparel,Topwear,Shirts,Black,Fall,2011.0,Formal,Indigo Nation Men Stripes Black Shirts
21952,Women,Accessories,Bags,Handbags,Brown,Winter,2015.0,Casual,Murcia Women Casual Brown Handbag
53681,Women,Accessories,Bags,Handbags,Peach,Summer,2012.0,Casual,Kiara Women Pale Peach Handbag
40092,Men,Apparel,Topwear,Tshirts,Navy Blue,Summer,2012.0,Sports,ADIDAS Men Navy Blue T-shirt
11246,Unisex,Apparel,Topwear,Sweatshirts,Grey,Fall,2011.0,Sports,Urban Yoga Unisex Solid Grey Sweatshirts
14398,Women,Footwear,Shoes,Casual Shoes,Grey,Summer,2012.0,Formal,Enroute Women DK.Grey shoes
45242,Women,Accessories,Watches,Watches,Black,Winter,2016.0,Casual,CASIO Baby-G Women Analogue & Digital Watch BX007
43986,Men,Personal Care,Fragrance,Perfume and Body Mist,Brown,Spring,2017.0,Casual,Police Men Uomo Perfume
39671,Men,Footwear,Shoes,Sports Shoes,White,Summer,2012.0,Sports,Lotto Men White Sports Shoes
38246,Boys,Apparel,Topwear,Tshirts,Green,Summer,2012.0,Casual,Batman Boys Green Printed T-shirt
10292,Women,Footwear,Shoes,Heels,Brown,Summer,2015.0,Casual,Clarks Women Brown Leather Heels
51516,Women,Accessories,Watches,Watches,White,Winter,2016.0,Casual,Fastrack Women White Dial Watch N6015sm01
56080,Women,Personal Care,Lips,Lip Gloss,Red,Spring,2017.0,Casual,Colorbar Star Shine Coral Glaze Lip Gloss 016
14059,Men,Apparel,Topwear,Tshirts,White,Fall,2011.0,Casual,Flying Machine Men Printed White polo Tshirts
42196,Women,Apparel,Topwear,Tops,Blue,Summer,2012.0,Casual,Sepia Women Blue Top
6496,Men,Apparel,Topwear,Tshirts,Black,Summer,2011.0,Casual,ADIDAS Men's Mesh Black T-shirt
58372,Men,Apparel,Topwear,Tshirts,Beige,Summer,2012.0,Casual,Locomotive Men Beige T-shirt
41988,Boys,Apparel,Topwear,Shirts,Blue,Summer,2012.0,Casual,Gini and Jony Boys Check Blue Shirt
14110,Men,Apparel,Topwear,Sweatshirts,Navy Blue,Fall,2011.0,Casual,Flying Machine Men Printed Navy Blue Sweatshirts
6108,Men,Apparel,Topwear,Tshirts,Grey,Summer,2011.0,Casual,UCB Men's Benetton Football Grey T-shirt
51339,Men,Accessories,Socks,Socks,Brown,Summer,2016.0,Casual,Raymond Men Brown Socks
14966,Men,Accessories,Wallets,Wallets,Brown,Fall,2011.0,Formal,Newhide Antique Wallet
7230,Men,Footwear,Shoes,Formal Shoes,Brown,Fall,2011.0,Formal,Rockport Men's Myrics Mid Brown Shoe
50673,Men,Apparel,Innerwear,Trunk,Black,Summer,2016.0,Casual,Chromozome Men Black Trunks
47594,Women,Footwear,Shoes,Heels,Blue,Winter,2012.0,Casual,Portia Women Blue Sandals
40992,Girls,Apparel,Topwear,Tops,Yellow,Summer,2012.0,Casual,Gini and Jony Girls Milan Yellow Tops
50201,Women,Accessories,Eyewear,Sunglasses,Black,Winter,2016.0,Casual,Stoln Women Black Sunglasses
2851,Men,Apparel,Topwear,Tshirts,Blue,Summer,2011.0,Casual,Mr.Men Men's Just Mediating Mr.Lazy Blue T-shirt
31322,Women,Apparel,Topwear,Kurtas,Blue,Summer,2012.0,Ethnic,Aurelia Women Printed Blue Kurta
56650,Women,Apparel,Topwear,Kurtis,Purple,Fall,2012.0,Ethnic,Mumbai Slang Women Purple Kurti
2193,Men,Apparel,Bottomwear,Shorts,Navy Blue,Fall,2010.0,Sports,ADIDAS Men Navy Short
47260,Men,Apparel,Innerwear,Briefs,White,Summer,2016.0,Casual,FCUK Underwear Men White Brief
8837,Men,Apparel,Bottomwear,Trousers,Cream,Summer,2011.0,Casual,Scullers Men Scul Cream Trousers
37159,Women,Apparel,Topwear,Tops,Orange,Summer,2012.0,Casual,United Colors of Benetton Women Orange Top
19018,Women,Footwear,Shoes,Heels,Black,Winter,2015.0,Casual,Catwalk Women Black Flats
27936,Women,Apparel,Bottomwear,Jeans,Grey,Summer,2012.0,Casual,Jealous 21 Women Grey Magic Colour Jeans
3727,Men,Apparel,Topwear,Tshirts,Orange,Summer,2011.0,Casual,Lee Men's Orange Kansas City T-shirt
4400,Men,Apparel,Topwear,Tshirts,Blue,Summer,2011.0,Casual,Beatles Men's Groove Light Blue T-shirt
25745,Men,Accessories,Belts,Belts,Black,Summer,2012.0,Casual,Wrangler Men Black Textured Belt
37325,Women,Accessories,Watches,Watches,White,Winter,2016.0,Casual,CASIO Sheen Women White Dial Watch SX035 SHE-4500D-7ADR
23766,Men,Accessories,Eyewear,Sunglasses,Black,Winter,2016.0,Casual,Oakley Men Black Fast Jacket Sunglasses
57160,Women,Apparel,Topwear,Tshirts,White,Summer,2012.0,Casual,Elle Women Printed White T-shirt
12791,Men,Apparel,Topwear,Tshirts,Red,Fall,2011.0,Sports,Nike Men Manchester United Red Jerseys
59658,Women,Apparel,Saree,Sarees,Blue,Fall,2012.0,Ethnic,FNF Red & Blue Printed Sari
20836,Men,Footwear,Shoes,Formal Shoes,Brown,Fall,2011.0,Formal,Hush Puppies Men Formal Brown Shoes
35329,Women,Accessories,Jewellery,Earrings,Silver,Winter,2016.0,Ethnic,Fabindia Women Anusuya Silver Earrings
41981,Boys,Apparel,Topwear,Tshirts,White,Summer,2012.0,Casual,Gini and Jony Boys Rodeo White T-shirt
3655,Men,Footwear,Shoes,Casual Shoes,Black,Summer,2011.0,Casual,Fila Men's Batec Black Shoe
41593,Men,Apparel,Topwear,Shirts,Beige,Summer,2012.0,Casual,Basics Men Beige Striped Shirt
14571,Men,Footwear,Shoes,Casual Shoes,Black,Spring,2012.0,Casual,Vans Men Bedford Black Casual Shoes
36184,Men,Apparel,Topwear,Tshirts,Blue,Summer,2012.0,Casual,Reid & Taylor Men Grey Blue Polo T-shirt
36538,Women,Accessories,Wallets,Wallets,Blue,Summer,2012.0,Casual,United Colors of Benetton Women Blue Wallet
23826,Unisex,Footwear,Flip Flops,Flip Flops,Blue,Fall,2013.0,Casual,Puma Unisex Blue Miami III Flip Flops
12757,Men,Apparel,Topwear,Tshirts,Blue,Fall,2011.0,Casual,Spykar Men Printed Blue T-Shirts
4911,Women,Apparel,Topwear,Tops,Pink,Summer,2011.0,Casual,Levis Kids Girl's Dionne Pink Kidswear
12162,Women,Apparel,Bottomwear,Leggings,Green,Fall,2011.0,Ethnic,Aurelia Women Solid Blue Leggings
22239,Men,Footwear,Shoes,Casual Shoes,Navy Blue,Summer,2011.0,Casual,ID Men Navy Blue Casual Shoes
33501,Women,Apparel,Bottomwear,Capris,Pink,Summer,2012.0,Casual,Doodle Kids Girl  Pink Capris
18521,Women,Apparel,Topwear,Sweatshirts,Black,Summer,2015.0,Casual,C Vox Women Solid 1355 Black Sweatshirt
49927,Women,Apparel,Saree,Sarees,Beige,Fall,2012.0,Ethnic,Fabindia Beige Hand Printed Sari
25635,Women,Accessories,Watches,Watches,White,Winter,2016.0,Casual,Fastrack Women White Casual Watch
29128,Women,Accessories,Eyewear,Sunglasses,Blue,Winter,2016.0,Casual,Vogue Women Blue Sunglasses
26384,Men,Apparel,Bottomwear,Trousers,Black,Summer,2012.0,Formal,Turtle Men Black Trousers
30749,Men,Apparel,Topwear,Kurtas,White,Summer,2012.0,Ethnic,Fabindia Men White Kurta
39839,Boys,Apparel,Topwear,Tshirts,Black,Summer,2012.0,Casual,Gini and Jony Boys Printed Black T-Shirt
